,PE_Shiller,PE_multpl,PE_investorsfriend,PE_fullratio,PE_HSI
1905-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1905-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1905-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1905-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1905-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1906-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1907-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1908-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
